Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
BEN,Franklin Resources Inc.,Financial,Asset Management,USA,35.09,14.84,56.22,-0.0028,770906
BF-B,Brown-Forman Corporation,Consumer Goods,Beverages - Wineries & Distillers,USA,19.89,30.11,94.04,0.0075,234818
BHI,Baker Hughes Incorporated,Basic Materials,Oil & Gas Equipment & Services,USA,25.91,20.23,65.23,0.0892,69536840
BIIB,Biogen Idec Inc.,Healthcare,Biotechnology,USA,72.13,28.9,302.42,-0.0099,1384034
BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,44.66,16.46,39.73,0.0015,4142580
BLK,"BlackRock, Inc.",Financial,Asset Management,USA,57.45,17.98,346.98,-0.0021,286415
BLL,Ball Corporation,Consumer Goods,Packaging & Containers,USA,8.8,17.8,64.41,0.0026,767731
BMS,"Bemis Company, Inc.",Consumer Goods,Packaging & Containers,USA,3.84,16.44,38.82,0.0094,488711
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - Major,USA,96.13,35.55,58.43,0.0083,4678554
BRCM,Broadcom Corp.,Technology,Semiconductor - Integrated Circuits,USA,24.93,57.68,42.18,0.0017,4073024
BRK-B,Berkshire Hathaway Inc.,Financial,Property & Casualty Insurance,USA,0.238,17.32,145.37,-0.0010,2420123
BSX,Boston Scientific Corporation,Healthcare,Medical Appliances & Equipment,USA,17.72,60.73,13.38,0.0015,11963024
BWA,BorgWarner Inc.,Consumer Goods,Auto Parts,USA,12.55,19.23,55.97,0.0143,1807590
BXP,Boston Properties Inc.,Financial,REIT - Office,USA,19.34,69.42,126.43,0.0007,719084
C,Citigroup Inc.,Financial,Money Center Banks,USA,161.71,18.73,53.57,0.0036,10141181
CA,"CA Technologies, Inc.",Technology,Business Software & Services,USA,13.33,17.41,30.07,0.0040,1999077
CAG,"ConAgra Foods, Inc.",Consumer Goods,Processed & Packaged Goods,USA,14.75,54.27,34.95,0.0063,1848747
CAH,"Cardinal Health, Inc.",Services,Drugs Wholesale,USA,26.59,25.35,80.36,0.0001,1555269
CAM,Cameron International Corporation,Basic Materials,Oil & Gas Equipment & Services,USA,11.5,16.5,58,-0.0041,1933300
CAT,Caterpillar Inc.,Industrial Goods,Farm & Construction Machinery,USA,61.35,16.4,101.7,0.0036,2470224
CB,The Chubb Corporation,Financial,Property & Casualty Insurance,USA,23.88,11.87,101.55,0.0030,584138
CBG,"CBRE Group, Inc.",Financial,Property Management,USA,10.78,27.46,32.52,0.0037,1082236
CBS,CBS Corporation,Services,Entertainment - Diversified,USA,27.74,22.25,52.88,-0.0099,6296142
CCE,Coca-Cola Enterprises Inc.,Consumer Goods,Beverages - Soft Drinks,USA,10.22,15.66,43.25,0.0227,1571514
CCI,Crown Castle International Corp.,Technology,Diversified Communication Services,USA,26.84,154.6,80.12,-0.0034,1530755
CCL,Carnival Corporation,Services,Resorts & Casinos,USA,32.11,23.06,41.51,0.0002,2659212
CELG,Celgene Corporation,Healthcare,Biotechnology,USA,83.1,54.48,104.36,0.0030,3224424
CERN,Cerner Corporation,Technology,Healthcare Information Services,USA,21.96,51.45,64.14,-0.0027,878478
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Chemicals,USA,13.24,9.73,270.01,0.0147,562069
CFN,CareFusion Corporation,Healthcare,Medical Instruments & Supplies,USA,11.74,29.08,57.71,0.0024,1683295
CHK,Chesapeake Energy Corporation,Basic Materials,Independent Oil & Gas,USA,15.44,30.54,23.38,0.0073,13799674
CHRW,CH Robinson Worldwide Inc.,Services,Air Delivery & Freight Services,USA,10.69,25.28,72.51,-0.0076,987450
CI,Cigna Corp.,Healthcare,Health Care Plans,USA,26.66,13.92,102.94,0.0102,1468232
CINF,Cincinnati Financial Corp.,Financial,Property & Casualty Insurance,USA,8.34,17.54,50.98,-0.0012,344390
CL,Colgate-Palmolive Co.,Consumer Goods,Personal Products,USA,61.57,29.63,67.92,0.0053,1943526
CLX,The Clorox Company,Consumer Goods,Housewares & Accessories,USA,12.96,23.12,101.02,0.0090,1000631
CMA,Comerica Incorporated,Financial,Money Center Banks,USA,8.73,16.36,48.61,0.0004,1058621
CMCSA,Comcast Corporation,Services,Entertainment - Diversified,USA,139.24,17.01,54.15,0.0008,12850426
CME,CME Group Inc.,Financial,Investment Brokerage - National,USA,28.57,28.09,84.09,-0.0086,1320266
CMG,"Chipotle Mexican Grill, Inc.",Services,Restaurants,USA,20.77,52.25,658.32,-0.0171,367390
CMI,Cummins Inc.,Industrial Goods,Diversified Machinery,USA,26.5,16.3,144.78,-0.0019,1001674
CMS,CMS Energy Corp.,Utilities,Electric Utilities,USA,8.88,18.16,32.66,0.0159,1473733
CNP,"CenterPoint Energy, Inc.",Utilities,Gas Utilities,USA,10.33,18.93,24.38,0.0141,2971052
CNX,CONSOL Energy Inc.,Basic Materials,Independent Oil & Gas,USA,9.12,37.71,40.25,0.0164,3939055
COF,Capital One Financial Corporation,Financial,Credit Services,USA,45.46,11.09,81.14,-0.0076,2928855
COG,Cabot Oil & Gas Corporation,Basic Materials,Independent Oil & Gas,USA,13.89,35.02,33.53,-0.0027,5226872
COH,"Coach, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,9.7,14.36,35.11,-0.0023,3198124
COL,Rockwell Collins Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,11.37,18.62,83.69,-0.0055,792285
COP,ConocoPhillips,Basic Materials,Independent Oil & Gas,USA,87.9,12.23,71.42,0.0001,4980026
COST,Costco Wholesale Corporation,Services,"Discount, Variety Stores",USA,60.62,29.78,138.47,-0.0001,1223360
COV,Covidien plc,Healthcare,Medical Instruments & Supplies,Ireland,42.46,28.48,94.61,0.0067,2712684
CPB,Campbell Soup Company,Consumer Goods,Processed & Packaged Goods,USA,13.75,18.78,44.56,0.0185,1331986
CRM,"salesforce.com, inc.",Technology,Application Software,USA,39.56,0,62.51,-0.0219,3313400
CSC,Computer Sciences Corporation,Technology,Information Technology Services,USA,8.68,14.1,62.39,0.0102,884525
CSCO,"Cisco Systems, Inc.",Technology,Networking & Communication Devices,USA,134.76,17.66,26.47,0.0055,32149090
CSX,CSX Corp.,Services,Railroads,USA,36.62,19.99,36.67,-0.0033,3122091
